tokenNumber,name,text,score,imagePath,imageUrl
7135,drifella 2 #7135,SIZE,0.9222550839185715,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HL3qKEfTV16FutonBTmismN4gMeLg3CcyHhSrbc34wGy/image.png,https://nftstorage.link/ipfs/bafybeihdwmdm2xdymbtcntomyj4on4rqrnmoowpyinr6cdpsixynuy4ak4/7135.png
7135,drifella 2 #7135,STAMINA,0.9324719650404794,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HL3qKEfTV16FutonBTmismN4gMeLg3CcyHhSrbc34wGy/image.png,https://nftstorage.link/ipfs/bafybeihdwmdm2xdymbtcntomyj4on4rqrnmoowpyinr6cdpsixynuy4ak4/7135.png
7135,drifella 2 #7135,-Nazi zombies-,0.9975931474140712,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HL3qKEfTV16FutonBTmismN4gMeLg3CcyHhSrbc34wGy/image.png,https://nftstorage.link/ipfs/bafybeihdwmdm2xdymbtcntomyj4on4rqrnmoowpyinr6cdpsixynuy4ak4/7135.png
7135,drifella 2 #7135,00%6,0.9086010158061981,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HL3qKEfTV16FutonBTmismN4gMeLg3CcyHhSrbc34wGy/image.png,https://nftstorage.link/ipfs/bafybeihdwmdm2xdymbtcntomyj4on4rqrnmoowpyinr6cdpsixynuy4ak4/7135.png
7135,drifella 2 #7135,atio,0.801411084830761,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HL3qKEfTV16FutonBTmismN4gMeLg3CcyHhSrbc34wGy/image.png,https://nftstorage.link/ipfs/bafybeihdwmdm2xdymbtcntomyj4on4rqrnmoowpyinr6cdpsixynuy4ak4/7135.png
3896,drifella 2 #3896,The essence of the Dratini,0.9923544503175296,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLBu1A6JdQhijfjFRqxx8qNToFGT5PJ2UBFzCgYyFuRu/image.png,https://nftstorage.link/ipfs/bafybeigylmvael62ficrwmpp4ollrpeape36yvbj5o2ld3itfsfumcpg2q/3896.png
3896,drifella 2 #3896,line is a more Godlead-pilled,0.9627256870269776,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLBu1A6JdQhijfjFRqxx8qNToFGT5PJ2UBFzCgYyFuRu/image.png,https://nftstorage.link/ipfs/bafybeigylmvael62ficrwmpp4ollrpeape36yvbj5o2ld3itfsfumcpg2q/3896.png
3896,drifella 2 #3896,take on the base-cocoon-maturity,0.9973658230155706,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLBu1A6JdQhijfjFRqxx8qNToFGT5PJ2UBFzCgYyFuRu/image.png,https://nftstorage.link/ipfs/bafybeigylmvael62ficrwmpp4ollrpeape36yvbj5o2ld3itfsfumcpg2q/3896.png
3896,drifella 2 #3896,structure in that the final result is,0.9859506262315286,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLBu1A6JdQhijfjFRqxx8qNToFGT5PJ2UBFzCgYyFuRu/image.png,https://nftstorage.link/ipfs/bafybeigylmvael62ficrwmpp4ollrpeape36yvbj5o2ld3itfsfumcpg2q/3896.png
3896,drifella 2 #3896,"a violent and unwanted change,",0.9631594022115072,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLBu1A6JdQhijfjFRqxx8qNToFGT5PJ2UBFzCgYyFuRu/image.png,https://nftstorage.link/ipfs/bafybeigylmvael62ficrwmpp4ollrpeape36yvbj5o2ld3itfsfumcpg2q/3896.png
3896,drifella 2 #3896,greatly ugly in presentation but vast,0.9904903833930557,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLBu1A6JdQhijfjFRqxx8qNToFGT5PJ2UBFzCgYyFuRu/image.png,https://nftstorage.link/ipfs/bafybeigylmvael62ficrwmpp4ollrpeape36yvbj5o2ld3itfsfumcpg2q/3896.png
3896,drifella 2 #3896,ill power and consequence,0.9571709680557251,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HLBu1A6JdQhijfjFRqxx8qNToFGT5PJ2UBFzCgYyFuRu/image.png,https://nftstorage.link/ipfs/bafybeigylmvael62ficrwmpp4ollrpeape36yvbj5o2ld3itfsfumcpg2q/3896.png
