phrase,field,count
asspizza gobln shirt,cloth,117
milady smirk,mouth,117
trader retard,cloth,116
demon pit,mouth,116
bacon,mouth,116
chad,mouth,115
work fit,cloth,115
taz grill,mouth,115
tank girl smoking,mouth,115
gold grill,mouth,115
anime with blood,mouth,115
silver bubble jacket,cloth,114
daddys lil monster,cloth,114
dithered armor,cloth,113
gengar smile,mouth,113
yugioh gx hoodie,cloth,113
gray hoodie,cloth,113
superman,cloth,113
shiny and chrome,mouth,113
cubone,mouth,113
ghillie suit,cloth,113
kid buu,mouth,113
smoky,mouth,113
i heart bladee,cloth,113
snoot bubble,mouth,112
ye,cloth,112
triple box logo,cloth,112
lean beef patty,cloth,112
backwards pill cyber jac,cloth,112
clear raincoat,cloth,112
rainbow,mouth,111
bape mape zip up,cloth,111
be different hoodie,cloth,111
pepe yell,mouth,110
grimer,mouth,110
death stranding,cloth,110
bullet bill spike teeth,mouth,110
troll,mouth,110
joker mouth,mouth,109
the charlie brown,mouth,109
cdg camo heart tee,cloth,109
inked shirt,cloth,109
joker smile,mouth,109
nwo shirt,cloth,109
chris chan rugby longsleeve,cloth,108
sweeper manga,mouth,108
lax,mouth,108
drained,cloth,108
ghost,mouth,108
ghastly smile,mouth,108
evil prof oak shirt,cloth,108
batman clench,mouth,107
college dropout,cloth,106
cat open,mouth,106
big joint,mouth,106
eat,mouth,106
straight jacket,cloth,106
yugi and joey shirt,cloth,106
warlax backpack,accessory,106
joker jared leto,mouth,105
goofy,mouth,105
underverse tattered shirt,cloth,105
leather general coat,cloth,105
mini venom mouth,mouth,105
thief fit,cloth,105
gaara w teddy,cloth,105
metal skelly,cloth,105
chipmunk,mouth,105
tek vest hoodie,cloth,105
mad,mouth,105
duck camo,cloth,104
snowy hoodie,cloth,104
dont care shirt,cloth,104
medic,cloth,104
idiot,cloth,104
joker troll,mouth,103
barf,mouth,103
evil tomato,mouth,103
shoplifter,cloth,103
suit,cloth,103
red pray shirt,cloth,102
thrashed pink hoodie,cloth,102
sans tongue,mouth,102
deaths head moth,mouth,102
goku,cloth,102
drool,mouth,102
newsprint spike,mouth,102
wow zip hoodie,cloth,102
swagtoshi nakamoto,cloth,101
devil world raf simmons,cloth,101
tie dye smiley,cloth,101
tongue out,mouth,101
honor thy father bloody shirt,cloth,100
raf simmons virginia creeper,cloth,100
spiked,cloth,100
me and her joint,mouth,100
ryuk,mouth,100
vivienne westwood gem jacket,cloth,99
latex skelly,cloth,99
skeleton hoodie,cloth,99
buying a t shirt,cloth,99
cross with jacket,cloth,99
red paint,cloth,99
thrashed white tee,cloth,98
hoodie arms up,cloth,98
ye,mouth,98
carnage,mouth,97
akira black and gray,cloth,97
vetements kanye hoodie,cloth,97
demon grin,mouth,96
mw2 pray shirt,cloth,96
trad wojak,cloth,96
fuzzy nose,nose,96
silent hill 2 zip,cloth,95
after hood,cloth,95
white bomber,cloth,95
tech armor,cloth,95
mouth with cig yo,mouth,95
shinji puffer,cloth,95
torn hoodie blue,cloth,95
thrashed vtg nature sweater,cloth,95
jock joker,mouth,94
golden spiky demon grill,mouth,94
bandage,nose,94
pissed cartman no respect,mouth,93
prada,mouth,93
im gay tee,cloth,92
clear skelly,cloth,92
blast,background_plus,92
pokeball necklace,accessory,92
red cloud jacket,cloth,92
lego nazi zombies,right_hand,92
phantom troupe,tattoos,92
manga missing tooth,mouth,92
