assetId,tokenNumber,name,text,score,imagePath
H3TxUpcGF98i2zjmmBszurVGJXRLRaUd2zRJ4rp7h2mT,1037,drifella 2 #1037,An Oil Rich,0.9825029318982904,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H3TxUpcGF98i2zjmmBszurVGJXRLRaUd2zRJ4rp7h2mT/image.png
H3TxUpcGF98i2zjmmBszurVGJXRLRaUd2zRJ4rp7h2mT,1037,drifella 2 #1037,Country,0.9964219757488796,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H3TxUpcGF98i2zjmmBszurVGJXRLRaUd2zRJ4rp7h2mT/image.png
H3TxUpcGF98i2zjmmBszurVGJXRLRaUd2zRJ4rp7h2mT,1037,drifella 2 #1037,Near You,0.9944895133376122,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H3TxUpcGF98i2zjmmBszurVGJXRLRaUd2zRJ4rp7h2mT/image.png
H3XcQX2MPRQxDteLWayx9MGtAHGi4wB4DM8HGs6Yi9hd,7735,drifella 2 #7735,Yo! Brother!,0.9975859224796295,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H3XcQX2MPRQxDteLWayx9MGtAHGi4wB4DM8HGs6Yi9hd/image.png
H3ASpWBb1MWez8vKwzqrhKw2y8GyZBm8khW9MViuxtwQ,2458,drifella 2 #2458,YOU'RE IN HER DMS,0.9771306444616878,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H3ASpWBb1MWez8vKwzqrhKw2y8GyZBm8khW9MViuxtwQ/image.png
H3ASpWBb1MWez8vKwzqrhKw2y8GyZBm8khW9MViuxtwQ,2458,drifella 2 #2458,STANLI,0.9483316342035929,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H3ASpWBb1MWez8vKwzqrhKw2y8GyZBm8khW9MViuxtwQ/image.png
H3ASpWBb1MWez8vKwzqrhKw2y8GyZBm8khW9MViuxtwQ,2458,drifella 2 #2458,'MLETTING GREED CORRUPT ME,0.9849210564906781,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H3ASpWBb1MWez8vKwzqrhKw2y8GyZBm8khW9MViuxtwQ/image.png
H327F5e2EAoj5e9r9t8tE4MYFBfsvF6j7cV6hUNrAEC6,883,drifella 2 #883,BORN TO DRAIN,0.9935749631661636,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H327F5e2EAoj5e9r9t8tE4MYFBfsvF6j7cV6hUNrAEC6/image.png
H327F5e2EAoj5e9r9t8tE4MYFBfsvF6j7cV6hUNrAEC6,883,drifella 2 #883,MUD IS A FUCK,0.9726627606611985,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H327F5e2EAoj5e9r9t8tE4MYFBfsvF6j7cV6hUNrAEC6/image.png
H327F5e2EAoj5e9r9t8tE4MYFBfsvF6j7cV6hUNrAEC6,883,drifella 2 #883,Burn Em All 2022,0.9880990572273731,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H327F5e2EAoj5e9r9t8tE4MYFBfsvF6j7cV6hUNrAEC6/image.png
